team,games_played,possessions,frequency,points_per_poss,points,fg_made,fg_att,fg_perc,eff_fg_perc,ft_freq,tov_freq,sf_freq,and1_freq,score_freq,percentile,season,playtype,offdef,teamcode,Team,CONF,DIV,GP,PPG,OPPPPG,AVGPTDIFF,PACE,oEFF,dEFF,EFFDIFF,SOS,SCHEDADJRATING,CONSISTENCYRATING,ADJ4FACTORS,WINS,LOSSES,WINPerc,EWINPerc,PROJWINPerc,AchievementLevel,Season,MIN,OffRtg,DefRtg,NetRtg,ASTPerc,ASTToTO,ASTRatio,OREBPerc,DREBPerc,REBPerc,TOVPerc,eFGPerc,TSPerc,PIE,Playoff
CHA,82,8.7,8.2,1.29,11.1,4.5,7.1,63.3,63.3,17.5,4.5,17.3,4.2,64.4,69,2016,cut,offense,CHA2016,CHA,East,Southeast,82,104.9,104.7,0.2,95.7,108.8,108.6,0.2,-0.22,-0.02,13.3,-0.055,36,46,0.439,0.507,0.506,-0.067,2016,3966,108.4,108.4,0,61.1,2.01,17.6,24.7,74.9,49.6,11.9,50.1,54.7,50.5,1
PHI,82,8.8,7.9,1.27,11.1,4.7,7.2,65.1,65.1,14.3,6.3,14,2.2,64.7,62.1,2016,cut,offense,PHI2016,PHI,East,Atlantic,82,102.4,108.1,-5.7,98.5,103.2,109,-5.8,0.4,-5.4,12.2,-0.006,28,54,0.341,0.312,0.318,0.023,2016,3966,102.7,108.2,-5.5,63.1,1.43,17.4,27.3,70.9,49,16.7,50.1,53.9,47,0
ATL,82,8.5,7.7,1.27,10.7,4.6,6.9,67.1,67.1,15.8,6.2,15.4,3.3,65.2,65.5,2016,cut,offense,ATL2016,ATL,East,Southeast,82,103.2,104,-0.8,97.3,104.9,105.8,-0.9,-0.6,-1.5,15.2,0.001,43,39,0.524,0.474,0.476,0.048,2016,3976,104.5,105.2,-0.7,62.1,1.5,17.4,28.2,71.7,50.2,16,50.4,54.1,50.6,1
BOS,82,8.1,7.5,1.32,10.7,4.5,6.8,66.9,66.9,14.6,4.7,14.5,3.2,66.7,82.8,2016,cut,offense,BOS2016,BOS,East,Atlantic,82,108,105.4,2.6,96.8,111.2,108.5,2.7,0.6,3.3,11.5,0.018,53,29,0.646,0.586,0.593,0.053,2016,3951,110.6,108,2.6,65.3,1.9,18.8,25.9,70.5,48.5,13.6,52.5,56.7,51.4,1
IND,82,8.4,7.8,1.27,10.6,4.4,6.9,64.1,64.1,15.7,6.3,15.3,3.9,63.4,58.6,2016,cut,offense,IND2016,IND,East,Central,82,105.1,105.3,-0.2,95.9,108.6,108.9,-0.3,-0.01,-0.31,14.2,-0.013,42,40,0.512,0.493,0.492,0.02,2016,3971,107.9,108.1,-0.2,57.2,1.63,17.2,25.5,71.3,48.8,14.1,51.6,55.8,50.5,1
SAC,82,9.1,8.6,1.15,10.4,4.6,7.7,60,60,11.4,7,11.1,3.1,58.7,6.9,2016,cut,offense,SAC2016,SAC,West,Pacific,82,102.8,106.7,-3.9,94.8,107.3,111.4,-4.1,0.83,-3.27,12.3,-0.016,32,50,0.39,0.372,0.37,0.02,2016,3976,106.6,110.8,-4.2,59.4,1.54,17.3,25.8,72.3,49.2,15.2,51.6,55.6,47.8,0
NYK,82,8.6,7.8,1.2,10.3,4.5,7.1,63.1,63.1,11.9,7.7,11.9,2.8,60.4,27.6,2016,cut,offense,NYK2016,NYK,East,Atlantic,82,104.3,108,-3.7,96,107.8,111.6,-3.8,0.15,-3.65,11.2,-0.012,31,51,0.378,0.378,0.367,0.011,2016,3971,107.1,110.7,-3.6,55.1,1.57,16.3,30.5,69.8,50,14.3,49.6,53.4,48.2,0
POR,82,8.8,8.1,1.17,10.3,4.3,7,62.2,62.2,14.8,8.5,15.1,3.1,59.6,13.8,2016,cut,offense,POR2016,POR,West,Northwest,82,107.9,108.5,-0.6,96.6,110.4,110.9,-0.5,0.61,0.11,13.7,0.026,41,41,0.5,0.48,0.485,0.015,2016,3986,109.4,110,-0.6,53.4,1.54,16,26.9,72,49.6,13.9,52,55.9,49.3,1
OKC,82,8.5,7.5,1.19,10.1,4.4,6.9,63,63,13.6,7.9,13.6,3.2,60.1,24.1,2016,cut,offense,OKC2016,OKC,West,Northwest,82,106.6,105.8,0.8,97.7,108.4,107.6,0.8,0.5,1.3,13.7,0.009,47,35,0.573,0.526,0.523,0.05,2016,3961,107.9,107.1,0.8,53.2,1.4,15.5,32.3,74.2,52.8,15.2,50,54,49.9,1
WAS,82,8.1,7.4,1.23,10,4.3,6.9,62.2,62.2,12.7,5.8,12.3,3,61.8,37.9,2016,cut,offense,WAS2016,WAS,East,Southeast,82,109.2,107.4,1.8,97.3,111.2,109.4,1.8,-0.54,1.26,11,-0.009,49,33,0.598,0.559,0.565,0.033,2016,3971,110.4,108.8,1.7,57.7,1.68,17.6,28.6,71.6,50.1,14.3,52.8,56.4,51.1,0
PHX,82,8,6.9,1.24,9.9,4,6.4,62.9,62.9,18.4,5.2,18.1,3.8,63.7,44.8,2016,cut,offense,PHX2016,PHX,West,Pacific,82,107.7,113.3,-5.6,100.2,106.6,112.2,-5.6,0.48,-5.12,11.9,-0.037,24,58,0.293,0.316,0.319,-0.026,2016,3966,106.1,111.3,-5.2,49.1,1.27,14.4,29.9,71.8,50.3,15.2,49.3,53.8,46.2,0
LAL,82,8.5,7.6,1.11,9.4,4,7.1,57,57,12.3,6.3,12.3,2.5,56.6,0,2016,cut,offense,LAL2016,LAL,West,Pacific,82,104.6,111.5,-6.9,98.5,106,113,-7,1.05,-5.95,16.5,-0.055,26,56,0.317,0.273,0.335,-0.018,2016,3941,105.3,112,-6.7,53.2,1.38,15.6,28.4,71.7,49.4,15.3,50.1,53.7,44.6,0
ORL,82,7.3,6.7,1.26,9.1,3.9,6.1,64.4,64.4,15.6,4.5,15.5,4.4,63.4,51.7,2016,cut,offense,ORL2016,ORL,East,Southeast,82,101.1,107.6,-6.5,96.9,103.7,110.4,-6.7,0.46,-6.24,15.2,-0.051,29,53,0.354,0.286,0.33,0.024,2016,3961,103.7,110.3,-6.5,58,1.67,16.8,26.7,72.6,49.1,13.7,48.9,52.4,46,0
MIA,82,7.7,7.2,1.18,9.1,4,6.4,62.4,62.4,13.1,7.1,12.8,3.3,59.9,17.2,2016,cut,offense,MIA2016,MIA,East,Southeast,82,103.2,102.1,1.1,95.2,107.8,106.7,1.1,0.5,1.6,13.1,0.024,41,41,0.5,0.536,0.534,-0.034,2016,3956,107.4,106.4,1,54.4,1.58,16.3,28.4,71.8,49.9,14,51.2,54.1,50,1
MIN,82,7.3,6.8,1.24,9.1,4,6.1,64.6,64.6,13,7.3,13.3,4.5,62,48.3,2016,cut,offense,MIN2016,MIN,West,Northwest,82,105.6,106.7,-1.1,94.6,110.9,112.1,-1.2,0.09,-1.11,14.5,-0.032,31,51,0.378,0.464,0.467,-0.089,2016,3961,110,110.9,-0.9,60,1.69,17.7,30.9,71,50.7,14.6,51.1,55.5,50.1,0
SAS,82,7.2,6.7,1.26,9,3.8,5.9,64.2,64.2,15.2,6,15.2,4.1,64.2,55.2,2016,cut,offense,SAS2016,SAS,West,Southwest,82,105.3,98.1,7.2,94.2,111.2,103.6,7.6,-1.17,6.43,12.9,0.043,61,21,0.744,0.737,0.721,0.023,2016,3961,110.3,102.9,7.4,60.6,1.77,18.1,28.2,73,51.1,14.1,52.4,56.4,55.1,1
MEM,82,7.6,7.2,1.16,8.9,3.8,6.3,60.2,60.2,13.6,6.9,13.3,2.4,59.7,10.3,2016,cut,offense,MEM2016,MEM,West,Southwest,82,100.5,100,0.5,92.2,107.8,107.2,0.6,0.76,1.36,13.8,-0.033,43,39,0.524,0.516,0.517,0.007,2016,3981,107,106.5,0.5,58.4,1.65,16.5,29.5,73.1,50.7,13.7,49.1,53.5,50.1,1
BKN,82,7.1,6.3,1.19,8.4,3.4,5.7,60.5,60.5,15,7.6,14.5,3.1,60.3,20.7,2016,cut,offense,BKN2016,BKN,East,Atlantic,82,105.8,112.5,-6.7,101.3,104,110.7,-6.7,1.12,-5.58,11.6,0.017,20,62,0.244,0.279,0.283,-0.039,2016,3951,103.6,110.1,-6.5,56.6,1.29,15.9,24.1,71.6,48.3,16.2,50.7,55.1,46,0
CLE,82,6.3,5.9,1.32,8.3,3.7,5.2,70.9,70.9,14.7,8.1,14.3,4.4,66.8,86.2,2016,cut,offense,CLE2016,CLE,East,Central,82,110.3,107.2,3.1,96.1,113.7,110.4,3.3,-0.2,3.1,14.8,0.052,51,31,0.622,0.602,0.588,0.034,2016,3976,112.8,109.7,3.1,56.7,1.66,17.1,26.4,72.2,49.9,14,54.7,58,51,1
NOP,82,6.9,6.3,1.21,8.3,3.4,5.5,61.1,61.1,17.3,6,16.5,3.9,61.6,31,2016,cut,offense,NOP2016,NOP,West,Southwest,82,104.3,106.4,-2.1,98,105.3,107.4,-2.1,0.02,-2.08,13.3,-0.031,34,48,0.415,0.431,0.437,-0.022,2016,3981,104.7,106.8,-2.1,58.2,1.77,17.1,22.8,72.8,48,12.9,50.4,53.9,49.3,0
