team,games_played,possessions,frequency,points_per_poss,points,fg_made,fg_att,fg_perc,eff_fg_perc,ft_freq,tov_freq,sf_freq,and1_freq,score_freq,percentile,season,playtype,offdef
DEN,82,8.9,7.9,1.34,11.9,5.3,7.6,69.4,69.4,11.8,5.6,10.4,3.2,68,96.6,2018,cut,offense
MEM,82,9.2,8.6,1.26,11.6,4.8,7.5,63.3,63.3,16.7,5.3,15.8,4,64.5,41.4,2018,cut,offense
NOP,82,8.8,7.6,1.31,11.6,5.1,7.4,68.9,68.9,12.6,6.8,12,3.3,66.2,72.4,2018,cut,offense
WAS,82,8.5,7.5,1.32,11.3,4.7,7.1,66.8,66.8,16.2,5.6,15.8,5.2,66.2,86.2,2018,cut,offense
UTA,82,8.8,7.9,1.28,11.3,4.7,7,68.1,68.1,17.6,7.2,17.3,3.9,65.6,62.1,2018,cut,offense
MIA,82,9,8,1.24,11.1,4.8,7.4,64.7,64.7,14.9,6.3,14.4,4,62.8,13.8,2018,cut,offense
BKN,82,8.4,7.3,1.23,10.4,4.4,6.9,62.9,62.9,15.9,5.2,15.6,3.2,63.6,10.3,2018,cut,offense
DAL,82,7.5,6.8,1.34,10.1,4.2,6.1,68.4,68.4,18.6,6.3,18,5.8,66.8,93.1,2018,cut,offense
ATL,81,8.1,6.9,1.25,10.1,4.3,6.7,64.1,64.1,16.1,5.9,15.5,4.3,63.2,24.1,2018,cut,offense
MIN,82,7.5,6.6,1.32,10,4.1,6.3,66.3,66.3,16.8,5.3,16.2,5,66.2,82.8,2018,cut,offense
LAC,82,7.8,6.9,1.25,9.8,4,6.4,63.4,63.4,17.8,6.4,17.1,5.8,62.6,27.6,2018,cut,offense
PHX,82,7.2,6.5,1.34,9.7,4.2,6.2,68.2,68.2,14.5,4.9,14,5.4,66.9,100,2018,cut,offense
SAC,82,7.7,6.6,1.24,9.5,4.1,6.3,65.3,65.3,13,7.6,12.4,3,62.8,17.2,2018,cut,offense
ORL,82,7.1,6.5,1.32,9.4,4.2,6.2,67.4,67.4,12.9,4.3,13,4.3,66.4,79.3,2018,cut,offense
MIL,82,6.9,6.1,1.33,9.2,3.9,5.9,66.9,66.9,15,4.4,14.3,4.6,66.5,89.7,2018,cut,offense
OKC,81,7.3,6.2,1.27,9.3,3.9,6,64.9,64.9,16.4,5.9,15.7,5.1,64.5,58.6,2018,cut,offense
CHA,82,7.2,6.5,1.26,9.1,3.8,5.9,64.6,64.6,16.2,4.6,16.1,3.2,65.3,44.8,2018,cut,offense
CLE,82,7.2,6.6,1.23,8.9,3.8,6,62.6,62.6,14,5.7,13.3,2.7,62.3,6.9,2018,cut,offense
BOS,82,6.8,6.1,1.24,8.5,3.7,5.8,63.3,63.3,12.1,5.5,11.9,2.1,63.1,20.7,2018,cut,offense
DET,82,7.2,6.5,1.17,8.4,3.6,5.9,61,61,14.6,7.3,13.9,4.3,58.8,0,2018,cut,offense
HOU,82,6.4,5.9,1.27,8.2,3.6,5.5,66.9,66.9,12.7,5.5,12.5,3,65,51.7,2018,cut,offense
SAS,82,6.4,5.9,1.27,8.2,3.5,5.4,64.3,64.3,12.9,5.9,12.3,3.4,63.8,55.2,2018,cut,offense
CHI,82,6.3,5.8,1.26,8,3.4,5.1,65.7,65.7,15.2,7.3,15.2,3.5,63.7,34.5,2018,cut,offense
TOR,82,6,5.4,1.27,7.6,3.2,5,64.5,64.5,13.8,6.3,13,3.2,63.4,48.3,2018,cut,offense
NYK,82,4.9,4.4,1.21,5.9,2.4,3.8,62.2,62.2,18,8,17.7,4,61.6,3.4,2018,cut,offense
MIA,65,10.6,9.7,1.3,13.8,5.7,8.7,65.4,65.4,16.3,5.7,15.7,4.4,65.5,62.1,2019,cut,offense
DEN,65,9.6,8.7,1.36,13.1,5.5,8,69,69,16.8,5.8,16.3,5.4,68.1,93.1,2019,cut,offense
